Page URL;Country Code;Property Type Categories;Custom Label 1;Custom Label 2;Partner
https://travelarii.com/property/splash-resort-1904w-free-beach-chairs-and-umbrella-mar-to-oct;Us;'house';price_2;review_score_2;vrbo.com
https://travelarii.com/property/crown-paradise-club-cancun-all-inclusive;Mx;resort;price_2;review_score_3;booking.com
https://travelarii.com/property/intercontinental-presidente-cancun-resort;Mx;resort;price_2;review_score_2;booking.com
https://travelarii.com/property/temptation-cancun-resort-all-inclusive-adults-only;Mx;resort;price_3;review_score_2;booking.com
https://travelarii.com/property/jw-marriott-cancun-resort-spa;Mx;resort;price_2;review_score_2;booking.com
https://travelarii.com/property/krystal-cancun;Mx;resort;price_2;review_score_3;booking.com
https://travelarii.com/property/park-royal-beach-cancun-all-inclusive;Mx;resort;price_2;review_score_3;booking.com
https://travelarii.com/property/hotel-nyx-cancun;Mx;resort;price_2;review_score_2;booking.com
https://travelarii.com/property/hotel-calypso-cancun;Mx;hotel;price_1;review_score_3;booking.com
https://travelarii.com/property/krystal-urban-cancun-centro;Mx;hotel;price_1;review_score_3;booking.com
https://travelarii.com/property/hotel-suites-gaby;Mx;hotel;price_1;review_score_3;booking.com
https://travelarii.com/property/emporio-cancun;Mx;resort;price_2;review_score_2;booking.com
https://travelarii.com/property/ibis-cancun-centro;Mx;hotel;price_1;review_score_3;booking.com
https://travelarii.com/property/hotel-caribe-internacional-cancun;Mx;hotel;price_1;review_score_3;booking.com
https://travelarii.com/property/city-express-cancun;Mx;hotel;price_1;review_score_3;booking.com
https://travelarii.com/property/selina-cancun-downtown;Mx;hotel;price_1;review_score_3;booking.com
https://travelarii.com/property/grand-hotel-colonial-cancun;Mx;hotel;price_1;review_score_3;booking.com
https://travelarii.com/property/suites-cancun-center;Mx;hotel;price_1;review_score_3;booking.com
https://travelarii.com/property/smart-cancun-by-oasis;Mx;hotel;price_1;review_score_3;booking.com
https://travelarii.com/property/grand-city-hotel-cancun;Mx;hotel;price_1;review_score_2;booking.com
https://travelarii.com/property/moon-palace-the-grand-cancun-all-inclusive;Mx;resort;price_3;review_score_2;booking.com
https://travelarii.com/property/caribbean-apartment;Mx;apartment;price_2;review_score_2;booking.com
https://travelarii.com/property/dreams-sands-cancun-resort-spa;Mx;resort;price_3;review_score_3;booking.com
https://travelarii.com/property/turquoize-at-hyatt-ziva-cancun-adults-only-all-inclusive;Mx;resort;price_3;review_score_2;booking.com
https://travelarii.com/property/four-points-by-sheraton-cancun-centro;Mx;hotel;price_1;review_score_2;booking.com
https://travelarii.com/property/eco-hotel-el-rey-del-caribe;Mx;hotel;price_1;review_score_2;booking.com
https://travelarii.com/property/mansion-giahn-bed-breakfast;Mx;bed & breakfast;price_1;review_score_3;booking.com
https://travelarii.com/property/the-villas-at-the-royal-cancun-all-suites-resort;Mx;resort;price_2;review_score_2;booking.com
https://travelarii.com/property/green-stairs-guest-house;Ge;'house';price_1;review_score_2;booking.com
https://travelarii.com/property/medico-and-suliko-guest-house;Ge;'house';price_1;review_score_2;booking.com
https://travelarii.com/property/hostel-kutaisi-by-kote;Ge;'hotel';price_1;review_score_2;booking.com
https://travelarii.com/property/bed-and-breakfast-pecari;Mx;bed & breakfast;price_1;review_score_2;booking.com
https://travelarii.com/property/departamento-deli;Mx;apartment;price_1;review_score_2;booking.com
https://travelarii.com/property/dream-lagoons;Mx;apartment;price_1;review_score_2;booking.com
https://travelarii.com/property/casa-jardines-del-sur-3;Mx;house;price_1;review_score_2;booking.com
https://travelarii.com/property/doubletree-by-hilton-at-the-entrance-to-universal-orlando;Us;hotel;price_2;review_score_2;booking.com
https://travelarii.com/property/aka-central-park;Us;hotel;price_2;review_score_2;booking.com
https://travelarii.com/property/hampton-inn-orlando-international-airport;Us;hotel;price_2;review_score_2;booking.com
https://travelarii.com/property/le-meridien-mina-seyahi-beach-resort-waterpark;Ae;'hotel';price_2;review_score_2;booking.com
https://travelarii.com/property/oaks-liwa-heights-hotel-suites;Ae;'hotel';price_2;review_score_2;booking.com
https://travelarii.com/property/millennium-hotel-broadway-times-square;Us;hotel;price_2;review_score_3;booking.com
https://travelarii.com/property/hotel-giraffe-by-library-hotel-collection;Us;hotel;price_2;review_score_2;booking.com
https://travelarii.com/property/shoreham-hotel;Us;hotel;price_2;review_score_3;booking.com
https://travelarii.com/property/copa-sul-hotel;Br;hotel;price_1;review_score_2;booking.com
https://travelarii.com/property/apa-hotel-copacabana;Br;hotel;price_1;review_score_3;booking.com
https://travelarii.com/property/nacional-inn-rio-copacabana;Br;hotel;price_1;review_score_2;booking.com
https://travelarii.com/property/hotel-atlantico-tower-soft-opening;Br;hotel;price_1;review_score_3;booking.com
https://travelarii.com/property/golden-tower-hotel-spa;It;hotel;price_2;review_score_2;booking.com
https://travelarii.com/property/palazzo-niccolini-al-duomo;It;hotel;price_2;review_score_2;booking.com
https://travelarii.com/property/hotel-raffaello;It;hotel;price_2;review_score_2;booking.com
https://travelarii.com/property/numa-l-rodo-rooms-apartments;It;hotel;price_1;review_score_2;booking.com
https://travelarii.com/property/hotel-rosso23-wtb-hotels;It;hotel;price_2;review_score_2;booking.com
https://travelarii.com/property/nova-plaza-prime-hotel;Tr;hotel;price_2;review_score_2;booking.com
https://travelarii.com/property/eurostars-florence-boutique;It;hotel;price_1;review_score_2;booking.com
https://travelarii.com/property/miramar-by-windsor-copacabana;Br;hotel;price_2;review_score_2;booking.com
https://travelarii.com/property/hotel-astoria-copacabana;Br;hotel;price_1;review_score_2;booking.com
https://travelarii.com/property/hotel-canada;Br;hotel;price_1;review_score_2;booking.com
https://travelarii.com/property/janeiro-hotel;Br;hotel;price_2;review_score_2;booking.com
https://travelarii.com/property/helvetia-bristol-firenze-starhotels-collezione;It;hotel;price_2;review_score_2;booking.com
https://travelarii.com/property/hotel-torre-guelfa-palazzo-acciaiuoli;It;hotel;price_2;review_score_2;booking.com
https://travelarii.com/property/hotel-st-james;It;hotel;price_1;review_score_3;booking.com
https://travelarii.com/property/best-western-london-highbury;Gb;hotel;price_1;review_score_3;booking.com
https://travelarii.com/property/nox-west-hampstead;Gb;hotel;price_2;review_score_2;booking.com
https://travelarii.com/property/twin-towers-hotel;Th;hotel;price_1;review_score_3;booking.com
https://travelarii.com/property/novotel-bangkok-on-siam-square-sha-extra-plus-certified;Th;hotel;price_2;review_score_3;booking.com
https://travelarii.com/property/hampton-inn-suites-by-hilton-vancouver-downtown;Ca;hotel;price_2;review_score_2;booking.com
https://travelarii.com/property/holiday-inn-vancouver-downtown-suites-an-ihg-hotel;Ca;hotel;price_2;review_score_3;booking.com
https://travelarii.com/property/bangkok-hotel-lotus-sukhumvit-by-compass-hospitality;Th;hotel;price_1;review_score_3;booking.com
https://travelarii.com/property/princeton-bangkok;Th;hotel;price_1;review_score_3;booking.com
https://travelarii.com/property/hilton-reykjavik-nordica;Is;hotel;price_2;review_score_2;booking.com
https://travelarii.com/property/ramada-by-wyndham-d-ma-bangkok;Th;hotel;price_1;review_score_4;booking.com
https://travelarii.com/property/the-maruay-garden-hotel;Th;hotel;price_1;review_score_3;booking.com
https://travelarii.com/property/element-las-vegas-summerlin;Us;hotel;price_2;review_score_3;booking.com
https://travelarii.com/property/courtyard-by-marriott-orlando-lake-buena-vista-in-the-marriott-village;Us;hotel;price_2;review_score_2;booking.com
https://travelarii.com/property/the-ritz-carlton-istanbul-at-the-bosphorus;Tr;hotel;price_2;review_score_2;booking.com
https://travelarii.com/property/pestana-buenos-aires;Ar;hotel;price_2;review_score_2;booking.com
https://travelarii.com/property/catalonia-vondel-amsterdam;Nl;hotel;price_2;review_score_3;booking.com
https://travelarii.com/property/a-one-bangkok-hotel;Th;hotel;price_1;review_score_3;booking.com
https://travelarii.com/property/ramada-by-wyndham-istanbul-taksim;Tr;hotel;price_2;review_score_2;booking.com
https://travelarii.com/property/titanic-city-taksim;Tr;hotel;price_1;review_score_2;booking.com
https://travelarii.com/property/borei-angkor-resort-spa;Kh;hotel;price_2;review_score_2;booking.com
https://travelarii.com/property/empress-angkor-resort-spa;Kh;hotel;price_1;review_score_2;booking.com
https://travelarii.com/property/angkor-holiday-hotel;Kh;hotel;price_1;review_score_3;booking.com
https://travelarii.com/property/khemara-angkor-hotel-spa;Kh;hotel;price_1;review_score_3;booking.com
https://travelarii.com/property/turvan-hotel;Tr;hotel;price_1;review_score_4;booking.com
https://travelarii.com/property/ethnica-hotel-old-city;Tr;hotel;price_1;review_score_2;booking.com
https://travelarii.com/property/bunwin-siem-reap;Kh;hotel;price_1;review_score_2;booking.com
https://travelarii.com/property/angkor-village-hotel;Kh;hotel;price_2;review_score_2;booking.com
https://travelarii.com/property/don-giovanni-hotel-prague-great-hotels-of-the-world;Cz;hotel;price_1;review_score_2;booking.com
https://travelarii.com/property/pytloun-kampa-garden-hotel-prague;Cz;hotel;price_1;review_score_2;booking.com
https://travelarii.com/property/hotel-claris;Cz;hotel;price_1;review_score_2;booking.com
https://travelarii.com/property/hotel-meda-of-museum-kampa;Cz;hotel;price_1;review_score_3;booking.com
https://travelarii.com/property/numa-l-root-rooms-apartments;Cz;hotel;price_1;review_score_2;booking.com
https://travelarii.com/property/sheraton-buenos-aires-hotel-convention-center;Ar;hotel;price_2;review_score_2;booking.com
https://travelarii.com/property/holiday-inn-vancouver-centre-broadway-an-ihg-hotel;Ca;hotel;price_2;review_score_2;booking.com
https://travelarii.com/property/sonder-chelsea-green;Gb;hotel;price_2;review_score_3;booking.com
https://travelarii.com/property/belgrave-hotel;Gb;hotel;price_1;review_score_3;booking.com
https://travelarii.com/property/dream-hotel-bangkok;Th;hotel;price_2;review_score_2;booking.com
https://travelarii.com/property/crowne-plaza-london-ealing-an-ihg-hotel;Gb;hotel;price_2;review_score_3;booking.com
https://travelarii.com/property/the-mandeville-hotel;Gb;hotel;price_2;review_score_2;booking.com
https://travelarii.com/property/hotel-55;Gb;hotel;price_2;review_score_2;booking.com
https://travelarii.com/property/club-quarters-hotel-embarcadero-san-francisco;Us;hotel;price_2;review_score_2;booking.com
https://travelarii.com/property/fitzgerald-hotel-union-square;Us;hotel;price_1;review_score_3;booking.com
https://travelarii.com/property/pestana-rio-atlantica;Br;hotel;price_2;review_score_2;booking.com
https://travelarii.com/property/royalty-copacabana-hotel;Br;hotel;price_1;review_score_4;booking.com
https://travelarii.com/property/hotel-ascot-opera;Fr;hotel;price_2;review_score_2;booking.com
https://travelarii.com/property/hotel-louison;Fr;hotel;price_2;review_score_2;booking.com
https://travelarii.com/property/hotel-arvor-saint-georges;Fr;hotel;price_2;review_score_2;booking.com
https://travelarii.com/property/benczur-hotel;Hu;hotel;price_1;review_score_2;booking.com
https://travelarii.com/property/copthorne-hotel-apartments-queenstown-lakeview;Nz;hotel;price_2;review_score_3;booking.com
https://travelarii.com/property/ibis-budapest-city;Hu;hotel;price_1;review_score_2;booking.com
https://travelarii.com/property/waikiki-malia-by-outrigger;Us;hotel;price_2;review_score_2;booking.com
https://travelarii.com/property/hyatt-regency-waikiki-beach-resort-spa;Us;resort;price_2;review_score_2;booking.com
https://travelarii.com/property/alohilani-resort-waikiki-beach;Us;hotel;price_2;review_score_2;booking.com
https://travelarii.com/property/imperial-hawaii-resort;Us;hotel;price_2;review_score_2;booking.com
https://travelarii.com/property/sarmiento-palace-hotel;Ar;hotel;price_1;review_score_3;booking.com
https://travelarii.com/property/mercure-queenstown-resort;Nz;hotel;price_2;review_score_3;booking.com
https://travelarii.com/property/the-ambassador-seoul-a-pullman-hotel;Kr;hotel;price_2;review_score_2;booking.com
https://travelarii.com/property/grand-walkerhill-seoul;Kr;hotel;price_2;review_score_2;booking.com
https://travelarii.com/property/hotel-bobbio;Hu;hotel;price_1;review_score_3;booking.com
https://travelarii.com/property/the-aquincum-hotel-budapest;Hu;hotel;price_1;review_score_3;booking.com
https://travelarii.com/property/mitsui-garden-hotel-kyoto-shijo;Jp;hotel;price_1;review_score_2;booking.com
https://travelarii.com/property/ryse-autograph-collection-seoul-by-marriott;Kr;hotel;price_2;review_score_2;booking.com
https://travelarii.com/property/beatrix-hotel;Hu;hotel;price_1;review_score_2;booking.com
https://travelarii.com/property/libertador-hotel;Ar;hotel;price_2;review_score_2;booking.com
https://travelarii.com/property/hotel-sheltown;Ar;hotel;price_1;review_score_3;booking.com
https://travelarii.com/property/telmho-hotel-boutique;Ar;hotel;price_1;review_score_3;booking.com
https://travelarii.com/property/inntel-hotels-amsterdam-centre;Nl;hotel;price_2;review_score_2;booking.com
https://travelarii.com/property/hotel-vondel-garden-city-centre;Nl;hotel;price_1;review_score_3;booking.com
https://travelarii.com/property/jan-luyken-hotel-amsterdam;Nl;hotel;price_2;review_score_2;booking.com
https://travelarii.com/property/hotel-estherea;Nl;hotel;price_2;review_score_2;booking.com
https://travelarii.com/property/hotel-des-arts;Nl;hotel;price_1;review_score_2;booking.com
https://travelarii.com/property/mercure-hotel-amsterdam-west;Nl;hotel;price_1;review_score_3;booking.com
https://travelarii.com/property/apollo-hotel-amsterdam-a-tribute-portfolio-hotel;Nl;hotel;price_2;review_score_2;booking.com
https://travelarii.com/property/hotel-station-kyoto-west;Jp;hotel;price_1;review_score_3;booking.com
https://travelarii.com/property/hearton-hotel-kyoto;Jp;hotel;price_1;review_score_2;booking.com
https://travelarii.com/property/danubius-hotel-hungaria-city-center;Hu;hotel;price_1;review_score_3;booking.com
https://travelarii.com/property/hotel-joe-m;Fr;hotel;price_2;review_score_2;booking.com
https://travelarii.com/property/hotel-elysees-opera;Fr;hotel;price_2;review_score_2;booking.com
https://travelarii.com/property/moris-grands-boulevards;Fr;hotel;price_2;review_score_2;booking.com
https://travelarii.com/property/hotel-des-nations-saint-germain;Fr;hotel;price_2;review_score_2;booking.com
https://travelarii.com/property/hotel-belloy-saint-germain;Fr;hotel;price_2;review_score_2;booking.com
https://travelarii.com/property/victoires-opera;Fr;hotel;price_2;review_score_3;booking.com
https://travelarii.com/property/leonardo-boutique-museumhotel;Nl;hotel;price_1;review_score_3;booking.com
https://travelarii.com/property/best-western-amsterdam;Nl;hotel;price_1;review_score_3;booking.com
https://travelarii.com/property/budget-trianon-hotel;Nl;hotel;price_1;review_score_3;booking.com
https://travelarii.com/property/avantgarde-hotel-taksim;Tr;hotel;price_1;review_score_3;booking.com
https://travelarii.com/property/elite-world-istanbul-taksim-hotel;Tr;hotel;price_2;review_score_2;booking.com
https://travelarii.com/property/dragon-royal-angkor-hotel;Kh;hotel;price_1;review_score_3;booking.com
https://travelarii.com/property/hotel-grand-mark;Tr;hotel;price_1;review_score_3;booking.com
https://travelarii.com/property/kenzi-menara-palace-resort-all-inclusive;Ma;hotel;price_2;review_score_2;booking.com
https://travelarii.com/property/hotel-asterisk-a-family-run-hotel;Nl;hotel;price_2;review_score_2;booking.com
https://travelarii.com/property/hotel-ai-due-principi;It;hotel;price_1;review_score_3;booking.com
https://travelarii.com/property/hotel-atlanta;Nl;hotel;price_1;review_score_3;booking.com
https://travelarii.com/property/cyan-americas-towers-hotel;Ar;hotel;price_1;review_score_2;booking.com
https://travelarii.com/property/hilton-buenos-aires;Ar;hotel;price_2;review_score_2;booking.com
https://travelarii.com/property/nh-city-buenos-aires;Ar;hotel;price_2;review_score_2;booking.com
https://travelarii.com/property/nh-collection-buenos-aires-lancaster;Ar;hotel;price_2;review_score_2;booking.com
https://travelarii.com/property/nh-collection-buenos-aires-crillon;Ar;hotel;price_2;review_score_2;booking.com
https://travelarii.com/property/nh-buenos-aires-latino;Ar;hotel;price_1;review_score_2;booking.com
https://travelarii.com/property/pampa-plaza-hotel;Ar;hotel;price_2;review_score_4;booking.com
https://travelarii.com/property/new-york-hilton-midtown;Us;hotel;price_2;review_score_3;booking.com
https://travelarii.com/property/hgu-new-york;Us;hotel;price_2;review_score_3;booking.com
https://travelarii.com/property/hilton-garden-inn-new-york-manhattan-chelsea;Us;'hotel';price_2;review_score_3;booking.com
https://travelarii.com/property/the-juniper-hotel-bistro;Ca;hotel;price_1;review_score_2;booking.com
https://travelarii.com/property/banff-caribou-lodge-and-spa;Ca;hotel;price_2;review_score_3;booking.com
https://travelarii.com/property/banff-park-lodge;Ca;hotel;price_1;review_score_2;booking.com
https://travelarii.com/property/red-carpet-inn;Ca;hotel;price_1;review_score_3;booking.com
https://travelarii.com/property/best-western-plus-siding-29-lodge;Ca;hotel;price_1;review_score_2;booking.com
https://travelarii.com/property/the-ritz-carlton-residences-waikiki-beach-hotel;Us;hotel;price_3;review_score_2;booking.com
https://travelarii.com/property/hilton-grand-vacation-club-the-grand-islander-waikiki-honolulu;Us;resort;price_2;review_score_2;booking.com
https://travelarii.com/property/halekulani;Us;resort;price_3;review_score_2;booking.com
https://travelarii.com/property/president-hotel;Us;hotel;price_1;review_score_3;booking.com
https://travelarii.com/property/penguin-hotel;Us;hotel;price_2;review_score_3;booking.com
https://travelarii.com/property/sea-view-hotel;Us;hotel;price_2;review_score_2;booking.com
https://travelarii.com/property/shepley-south-beach-hotel;Us;hotel;price_2;review_score_2;booking.com
https://travelarii.com/property/kimpton-anglers-hotel-south-beach-an-ihg-hotel;Us;resort;price_2;review_score_2;booking.com
https://travelarii.com/property/pestana-south-beach-hotel;Us;hotel;price_2;review_score_2;booking.com
https://travelarii.com/property/hotel-gaythering-gay-hotel-all-adults-welcome;Us;hotel;price_2;review_score_2;booking.com
https://travelarii.com/property/oceanside-hotel-and-suites;Us;hotel;price_1;review_score_3;booking.com
https://travelarii.com/property/the-twin-fin-hotel;Us;hotel;price_2;review_score_2;booking.com
https://travelarii.com/property/aston-at-the-executive-centre-hotel;Us;hotel;price_2;review_score_2;booking.com
https://travelarii.com/property/aston-waikiki-circle-hotel;Us;hotel;price_2;review_score_2;booking.com
https://travelarii.com/property/coconut-waikiki-hotel;Us;hotel;price_2;review_score_2;booking.com
https://travelarii.com/property/park-shore-waikiki;Us;hotel;price_2;review_score_2;booking.com
https://travelarii.com/property/best-western-the-plaza-hotel-free-breakfast;Us;hotel;price_2;review_score_3;booking.com
https://travelarii.com/property/pagoda-hotel;Us;hotel;price_2;review_score_3;booking.com
https://travelarii.com/property/halepuna-waikiki-by-halekulani;Us;hotel;price_2;review_score_2;booking.com
https://travelarii.com/property/beach-park-hotel;Us;hotel;price_2;review_score_4;booking.com
https://travelarii.com/property/pelican-hotel;Us;hotel;price_2;review_score_2;booking.com
https://travelarii.com/property/hotel-de-l-exposition-republique;Fr;hotel;price_1;review_score_3;booking.com
https://travelarii.com/property/ibis-styles-paris-gare-de-l-est-tgv;Fr;hotel;price_2;review_score_3;booking.com
https://travelarii.com/property/hotel-de-la-bretonnerie;Fr;hotel;price_2;review_score_2;booking.com
https://travelarii.com/property/hotel-pont-royal;Fr;hotel;price_2;review_score_2;booking.com
https://travelarii.com/property/voco-paris-montparnasse-an-ihg-hotel;Fr;hotel;price_2;review_score_2;booking.com
https://travelarii.com/property/le-vert-galant-auberge-etchegorry;Fr;hotel;price_2;review_score_2;booking.com
https://travelarii.com/property/hotel-saint-louis-marais;Fr;hotel;price_2;review_score_2;booking.com
https://travelarii.com/property/hotel-opera-marigny;Fr;hotel;price_2;review_score_2;booking.com
https://travelarii.com/property/best-western-aramis-saint-germain;Fr;hotel;price_2;review_score_2;booking.com
https://travelarii.com/property/hotel-yllen-eiffel;Fr;hotel;price_2;review_score_2;booking.com
https://travelarii.com/property/beach-haus-bal-harbour;Us;hotel;price_2;review_score_2;booking.com
https://travelarii.com/property/aqua-hotel-suites;Us;hotel;price_2;review_score_4;booking.com
https://travelarii.com/property/beacon-south-beach-hotel;Us;hotel;price_2;review_score_3;booking.com
https://travelarii.com/property/shelley-hotel;Us;hotel;price_1;review_score_4;booking.com
https://travelarii.com/property/marseilles-beachfront-hotel;Us;hotel;price_2;review_score_3;booking.com
