Slug,Country_Code,Property_Type_Categories,Review_score_base,Review_Score,USD_Price,Partner,Published
city-express-cancun,mx,Hotel,10,7.3,81,booking.com,True
selina-cancun-downtown,mx,Hotel,10,7.0,14,booking.com,True
grand-hotel-colonial-cancun,mx,Hotel,10,6.9,75,booking.com,True
suites-cancun-center,mx,Hotel,10,6.9,39,booking.com,True
smart-cancun-by-oasis,mx,Hotel,10,7.6,96,booking.com,True
grand-city-hotel-cancun,mx,Hotel,10,8.4,74,booking.com,True
moon-palace-the-grand-cancun-all-inclusive,mx,Resort,10,8.0,957,booking.com,True
caribbean-apartment,mx,Apartment,10,9.6,125,booking.com,True
dreams-sands-cancun-resort-spa,mx,Resort,10,7.7,650,booking.com,True
turquoize-at-hyatt-ziva-cancun-adults-only-all-inclusive,mx,Resort,10,9.3,901,booking.com,True
four-points-by-sheraton-cancun-centro,mx,Hotel,10,8.0,98,booking.com,True
eco-hotel-el-rey-del-caribe,mx,Hotel,10,8.4,93,booking.com,True
mansion-giahn-bed-breakfast,mx,Bed & Breakfast,10,7.0,29,booking.com,True
the-villas-at-the-royal-cancun-all-suites-resort,mx,Resort,10,8.5,340,booking.com,True
green-stairs-guest-house,ge,['House'],10,8.9,19,booking.com,False
medico-and-suliko-guest-house,ge,['House'],10,9.4,9,booking.com,False
hostel-kutaisi-by-kote,ge,['Hotel'],10,9.3,23,booking.com,False
bed-and-breakfast-pecari,mx,Bed & Breakfast,10,9.0,58,booking.com,True
departamento-deli,mx,Apartment,10,9.4,83,booking.com,True
dream-lagoons,mx,Apartment,10,8.6,88,booking.com,True
casa-jardines-del-sur-3,mx,House,10,9.3,70,booking.com,True
doubletree-by-hilton-at-the-entrance-to-universal-orlando,us,Hotel,10,8.1,106,booking.com,True
aka-central-park,us,Hotel,10,8.2,320,booking.com,True
hampton-inn-orlando-international-airport,us,Hotel,10,8.2,161,booking.com,True
le-meridien-mina-seyahi-beach-resort-waterpark,ae,['Hotel'],10,8.3,250,booking.com,True
oaks-liwa-heights-hotel-suites,ae,['Hotel'],10,8.7,123,booking.com,True
millennium-hotel-broadway-times-square,us,Hotel,10,7.2,117,booking.com,True
hotel-giraffe-by-library-hotel-collection,us,Hotel,10,8.8,285,booking.com,True
shoreham-hotel,us,Hotel,10,7.2,180,booking.com,True
copa-sul-hotel,br,Hotel,10,8.3,65,booking.com,True
apa-hotel-copacabana,br,Hotel,10,7.6,38,booking.com,True
nacional-inn-rio-copacabana,br,Hotel,10,8.2,71,booking.com,True
hotel-atlantico-tower-soft-opening,br,Hotel,10,6.7,30,booking.com,True
